id,work_area_id,item_name,item_code,category,unit,planned_quantity,actual_quantity,notes
,wa_glq,60型,417-5-2,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,80型,417-5-3,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,160型,417-5-5,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,DN160,418-1-1,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,DN200,418-1-2,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,桥面边部碎石盲沟,418-2,bridge,m3,0.3,,starter_from_design=351-import-v1; target_quantity=0.3
,wa_glq,泄水管,418-3,bridge,套,14.0,,starter_from_design=351-import-v1; target_quantity=14.0
,wa_glq,1-Φ0.8,419-1-2,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,开挖（含回填）,420-1,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,光圆钢筋,420-2,bridge,kg,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,带肋钢筋,420-3,bridge,kg,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,C40混凝土,420-5-1,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,C30混凝土,420-6-1,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,C25混凝土（帽石）,420-6-2,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,C30混凝土（含基础）,420-7-1,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,C25片石混凝土,420-12-1,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,20cm抗折4.0Mpa 砼路面,420-14-1,bridge,m2,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,C50混凝土（明涵铺装）,420-14-2,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,10cm沥青砼,420-15-1,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,防水层,420-15-2,bridge,m2,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,砂砾垫层,420-18-1,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,C30现浇砼边沟,420-20-1,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,C30预制砼边沟盖板,420-20-2,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,盖板钢筋HPB300,420-20-3,bridge,kg,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,盖板钢筋HRB400,420-20-4,bridge,kg,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,C50护栏基础,420-20-5,bridge,m3,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,DN1000钢管（Q235B镇静钢）,424-1,bridge,m,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,套筒式伸缩节,424-2,bridge,套,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
,wa_glq,限高标志,424-3,bridge,套,0.0,,starter_from_design=351-import-v1; target_quantity=0.0
